,Sa2,Year,regionName,score,bonus_collab,core_bonus_score_ratio
0,125041489,2017,North Parramatta,114,0,0
0,117011321,2017,Botany,114,0,0
0,305011106,2017,Fortitude Valley,114,2,0.01754386
0,503011034,2017,Mosman Park - Peppermint Grove,114,0,0
0,301011004,2017,Capalaba,113,0,0
0,311061334,2017,Springwood,113,0,0
0,507021164,2017,East Fremantle,112,0,0
0,402041045,2017,Pooraka,112,4,0.035714286
0,316011414,2017,Buderim - South,112,3,0.026785714
0,310011271,2017,Darra - Sumner,112,1,0.008928571
0,309071258,2017,Upper Coomera - Willow Vale,112,0,0
0,404011093,2017,Hindmarsh - Brompton,112,11,0.098214286
0,213021344,2017,Newport,111,0,0
0,125011472,2017,Auburn,111,0,0
0,505021093,2017,Stirling - Osborne Park,111,1,0.009009009
0,316031428,2017,Mooloolaba - Alexandra Headland,111,0,0
0,304041103,2017,The Gap,111,0,0
0,212051319,2017,Ashwood - Chadstone,110,0,0
0,208031185,2017,Carrum - Patterson Lakes,110,0,0
0,211051278,2017,Lilydale - Coldstream,109,0,0
0,309021233,2017,Elanora,109,0,0
0,119031369,2017,Mortdale - Penshurst,109,0,0
0,302031037,2017,Eagle Farm - Pinkenba,109,4,0.036697248
0,507051188,2017,Rockingham,109,2,0.018348624
0,309021232,2017,Currumbin Waters,108,0,0
0,125031482,2017,Greystanes - Pemulwuy,108,0,0
0,309061246,2017,Carrara,107,0,0
0,213031348,2017,Footscray,107,0,0
0,506031126,2017,Canning Vale Commercial,107,0,0
0,206011108,2017,Coburg,106,0,0
0,305021117,2017,Morningside - Seven Hills,106,3,0.028301887
0,210051245,2017,Gladstone Park - Westmeadows,106,15,0.141509434
0,124031464,2017,Penrith,106,1,0.009433962
0,128011529,2017,Gymea - Grays Point,106,0,0
0,125031479,2017,Chester Hill - Sefton,106,2,0.018867925
0,506051141,2017,Lesmurdie - Bickley - Carmel,105,0,0
0,211051274,2017,Belgrave - Selby,105,0,0
0,111031224,2017,Hamilton - Broadmeadow,105,0,0
0,505031105,2017,Mindarie - Quinns Rocks - Jindalee,104,0,0
0,118021350,2017,Malabar - La Perouse - Chifley,104,0,0
0,504021050,2017,Glen Forrest - Darlington,104,0,0
0,402041047,2017,Salisbury East,104,0,0
0,120031391,2017,Burwood - Croydon,104,0,0
0,115041302,2017,Rouse Hill - Beaumont Hills,104,0,0
0,206071145,2017,Yarra - North,103,2,0.019417476
0,214021384,2017,Rosebud - McCrae,103,0,0
0,401061021,2017,Prospect,103,0,0
0,124011452,2017,Katoomba - Leura,103,0,0
0,111021219,2017,Toronto - Awaba,103,0,0
0,309031235,2017,Arundel,103,0,0
0,309091264,2017,Molendinar,102,0,0
0,112011240,2017,Byron Bay,102,0,0
0,125041493,2017,Toongabbie - Constitution Hill,102,0,0
0,125041491,2017,Northmead,102,32,0.31372549
0,204031074,2017,Wodonga,102,0,0
0,209011202,2017,Montmorency - Briar Hill,102,1,0.009803922
0,102011029,2017,Box Head - MacMasters Beach,101,0,0
0,505011082,2017,Sorrento - Marmion,101,0,0
